Cluster 1_PREDICTION,Cluster 2_PREDICTION,PREDICTION,SEASON,PLAYER ID,FIRST NAME,LAST NAME,PLAYER NAME,POSITION,HEIGHT WO SHOES,HEIGHT WO SHOES FT IN,HEIGHT W SHOES,HEIGHT W SHOES FT IN,WEIGHT,WINGSPAN,WINGSPAN FT IN,STANDING REACH,STANDING REACH FT IN,BODY FAT PCT,HAND LENGTH,HAND WIDTH,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,LANE AGILITY TIME,MODIFIED LANE AGILITY TIME,THREE QUARTER SPRINT,BENCH PRESS,SPOT FIFTEEN CORNER LEFT,SPOT FIFTEEN BREAK LEFT,SPOT FIFTEEN TOP KEY,SPOT FIFTEEN BREAK RIGHT,SPOT FIFTEEN CORNER RIGHT,SPOT COLLEGE CORNER LEFT,SPOT COLLEGE BREAK LEFT,SPOT COLLEGE TOP KEY,SPOT COLLEGE BREAK RIGHT,SPOT COLLEGE CORNER RIGHT,SPOT NBA CORNER LEFT,SPOT NBA BREAK LEFT,SPOT NBA TOP KEY,SPOT NBA BREAK RIGHT,SPOT NBA CORNER RIGHT,OFF DRIB FIFTEEN BREAK LEFT,OFF DRIB FIFTEEN TOP KEY,OFF DRIB FIFTEEN BREAK RIGHT,OFF DRIB COLLEGE BREAK LEFT,OFF DRIB COLLEGE TOP KEY,OFF DRIB COLLEGE BREAK RIGHT,ON MOVE FIFTEEN,ON MOVE COLLEGE,GENERATED AT
0.0000000044,1.0,Cluster 2,2001,12033,Adam,Allenspach,Adam Allenspach,C,83.5,6' 11.5'',,,259.0,84.5,7' 0.5'',107.0,8' 11'',12.4,,,28.5,31.0,11.9,,3.4,16.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0,1.0,Cluster 2,2001,2240,Gilbert,Arenas,Gilbert Arenas,SG,74.25,6' 2.25'',,,199.0,81.5,6' 9.5'',99.5,8' 3.5'',5.3,,,31.5,36.0,,,3.25,12.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0009656187,0.9990344048,Cluster 2,2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,75.5,6' 3.5'',,,188.0,81.5,6' 9.5'',99.5,8' 3.5'',9.3,,,30.0,37.0,10.91,,3.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0,1.0,Cluster 2,2001,2203,Shane,Battier,Shane Battier,SF-PF,80.25,6' 8.25'',,,229.0,82.5,6' 10.5'',105.0,8' 9'',9.3,,,29.5,33.0,10.95,,3.3,12.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0,1.0,Cluster 2,2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,75.0,6' 3'',,,206.0,80.5,6' 8.5'',99.0,8' 3'',5.3,,,35.0,41.5,11.26,,2.91,7.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0166028924,0.9833971262,Cluster 2,2001,2294,Charlie,Bell,Charlie Bell,PG,74.5,6' 2.5'',,,200.0,79.5,6' 7.5'',97.5,8' 1.5'',6.7,,,31.5,38.0,10.59,,3.12,15.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0000395488,0.9999604225,Cluster 2,2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,83.5,6' 11.5'',,,245.0,88.0,7' 4'',111.0,9' 3'',6.0,,,26.5,31.0,11.84,,3.33,6.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0,1.0,Cluster 2,2001,12035,Calvin,Bowman,Calvin Bowman,PF,80.75,6' 8.75'',,,214.0,83.5,6' 11.5'',104.0,8' 8'',8.6,,,28.5,34.5,11.96,,3.21,7.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0,1.0,Cluster 2,2001,2214,Michael,Bradley,Michael Bradley,PF,81.5,6' 9.5'',,,227.0,85.5,7' 1.5'',107.0,8' 11'',9.3,,,27.0,30.0,11.11,,3.35,13.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
0.0155399572,0.9844599962,Cluster 2,2001,2249,Jamison,Brewer,Jamison Brewer,PG,74.5,6' 2.5'',,,178.0,80.75,6' 8.75'',102.5,8' 6.5'',6.7,,,26.0,32.5,9.65,,3.15,12.0,,,,,,,,,,,,,,,,,,,,,,,,2022-09-13T14:59:10.045
