LONGEVITY_0-4_PREDICTION,LONGEVITY_4+_PREDICTION,LONGEVITY_8+_PREDICTION,LONGEVITY_PREDICTION,CLASS_1,CLASS_1_EXPLANATION_1_FEATURE_NAME,CLASS_1_EXPLANATION_1_STRENGTH,CLASS_1_EXPLANATION_1_ACTUAL_VALUE,CLASS_1_EXPLANATION_1_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_2_FEATURE_NAME,CLASS_1_EXPLANATION_2_STRENGTH,CLASS_1_EXPLANATION_2_ACTUAL_VALUE,CLASS_1_EXPLANATION_2_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_3_FEATURE_NAME,CLASS_1_EXPLANATION_3_STRENGTH,CLASS_1_EXPLANATION_3_ACTUAL_VALUE,CLASS_1_EXPLANATION_3_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_4_FEATURE_NAME,CLASS_1_EXPLANATION_4_STRENGTH,CLASS_1_EXPLANATION_4_ACTUAL_VALUE,CLASS_1_EXPLANATION_4_QUALITATIVE_STRENGTH,CLASS_1_EXPLANATION_5_FEATURE_NAME,CLASS_1_EXPLANATION_5_STRENGTH,CLASS_1_EXPLANATION_5_ACTUAL_VALUE,CLASS_1_EXPLANATION_5_QUALITATIVE_STRENGTH,PLAYER AGE,TOTAL FIELD GOALS MADE,TOTAL FIELD GOALS ATTEMPTED,TOTAL 3 POINT MADE,TOTAL 3 POINT ATTEMPTED,TOTAL FREE THROWS MADE,TOTAL FREE THROWS ATTEMPTED,TOTAL OFFENSIVE REBOUND,TOTAL DEFENSIVE REBOUND,TOTAL REBOUND,TOTAL ASSISTS,TOTAL STEALS,TOTAL BLOCKS,TOTAL TURNOVERS,TOTAL PERSONAL FOULS,TOTAL POINTS,MINUTES PLAYED PERGAME,FIELD GOALS MADE PER GAME,FIELD GOALS ATTEMPTED PER GAME,3 POINT MADE PER GAME,3 POINT ATTEMPTED PER GAME,FREE THROWS MADE PER GAME,FREE THROWS ATTEMPTED PER GAME,OFFENSIVE REBOUND PER GAME,DEFENSIVE REBOUND PER GAME,REBOUND PER GAME,ASSISTS PER GAME,STEALS PER GAME,BLOCKS PER GAME,TURNOVERS PER GAME,PERSONAL FOULS PER GAME,POINTS PER GAME,TOTAL GAME PLAYED,TOTAL GAME STARTED,TOTAL MINUTES,FIELD GOALS MADE PER 36 MINUTES,FIELD GOALS ATTEMPTED PER 36 MINUTES,FIELD GOALS % PER 36 MINUTES,3 POINT MADE PER 36 MINUTES,3 POINT ATTEMPTED PER 36 MINUTES,3 POINT % PER 36 MINUTES,FREE THROWS MADE PER 36 MINUTES,FREE THROWS ATTEMPTED PER 36 MINUTES,FREE THROWS % PER 36 MINUTES,OFFENSIVE REBOUND PER 36 MINUTES,DEFENSIVE REBOUND PER 36 MINUTES,REBOUND PER 36 MINUTES,ASSISTS PER 36 MINUTES,STEALS PER 36 MINUTES,BLOCKS PER 36 MINUTES,TURNOVERS PER 36 MINUTES,PERSONAL FOULS PER 36 MINUTES,POINTS PER 36 MINUTES,LONGEVITY,LAST AND FIRST NAME
0.5004157473,0.377004107,0.1225801457,0-4,0-4,STEALS PER 36 MINUTES,0.118032381,0.9,++,FREE THROWS % PER 36 MINUTES,-0.0961422274,0.627,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0670925072,6.7,--,REBOUND PER 36 MINUTES,0.0630386977,11.8,++,3 POINT % PER 36 MINUTES,0.0310650846,0.397,+,19,270,440,23,58,131,209,132.0,234.0,366,50,27,29,75,60,694,33.9,8.2,13.3,0.7,1.8,4.0,6.3,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,33,32,1118,8.7,14.2,0.614,0.7,1.9,0.397,4.2,6.7,0.627,4.3,7.5,11.8,1.6,0.9,0.9,2.4,1.9,22.3,4+,"Bagley III, Marvin"
0.4359838566,0.3024843103,0.261531833,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1600397211,0.441,---,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0648522481,8.0,--,FREE THROWS % PER 36 MINUTES,-0.0445521932,0.8170000000000001,--,STEALS PER 36 MINUTES,-0.0437641666,2.1,--,REBOUND PER 36 MINUTES,-0.0386756049,3.7,--,21,180,371,45,102,179,219,15.0,87.0,102,110,58,20,104,68,584,32.0,5.8,12.0,1.5,3.3,5.8,7.1,0.5,2.8,3.3,3.5,1.9,0.6,3.4,2.2,18.8,31,31,991,6.5,13.5,0.485,1.6,3.7,0.441,6.5,8.0,0.817,0.5,3.2,3.7,4.0,2.1,0.7,3.8,2.5,21.2,8+,"Teague, Jeff"
0.4516687889,0.3499182017,0.1984130093,0-4,0-4,STEALS PER 36 MINUTES,-0.0628746394,1.2,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0628560933,6.5,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0316999754,3.1,--,FREE THROWS % PER 36 MINUTES,-0.0220661962,0.758,--,3 POINT % PER 36 MINUTES,-0.0172875641,0.6,--,20,229,380,9,15,197,260,123.0,287.0,410,64,47,134,71,111,664,34.2,5.5,9.0,0.2,0.4,4.7,6.2,2.9,6.8,9.8,1.5,1.1,3.2,1.7,2.6,15.8,42,40,1436,5.7,9.5,0.603,0.2,0.4,0.6,4.9,6.5,0.758,3.1,7.2,10.3,1.6,1.2,3.4,1.8,2.8,16.6,0-4,Zhou Qi
0.4654534477,0.3802813473,0.154265205,0-4,0-4,3 POINT % PER 36 MINUTES,-0.1064900435,0.444,--,STEALS PER 36 MINUTES,-0.0654806352,1.1,--,FREE THROWS % PER 36 MINUTES,-0.0631888412,0.853,--,FREE THROWS ATTEMPTED PER 36 MINUTES,0.0475224776,3.3,++,OFFENSIVE REBOUND PER 36 MINUTES,-0.0290018537,0.9,--,22,205,444,104,234,81,95,25.0,208.0,233,241,32,7,85,52,595,33.0,6.6,14.3,3.4,7.5,2.6,3.1,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7,19.2,31,30,1022,7.2,15.6,0.462,3.7,8.2,0.444,2.9,3.3,0.853,0.9,7.3,8.2,8.5,1.1,0.2,3.0,1.8,21.0,4+,"Valentine, Denzel"
0.4729960648,0.3044464247,0.2225575106,0-4,0-4,3 POINT % PER 36 MINUTES,-0.0638694956,nan,---,STEALS PER 36 MINUTES,-0.0487842516,1.0,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0464861568,2.9,--,FREE THROWS % PER 36 MINUTES,0.0140736045,0.6809999999999999,+,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0052245277,7.3,-,23,221,369,0,0,173,254,99.0,260.0,359,70,36,52,103,92,615,34.7,6.1,10.3,0.0,0.0,4.8,7.1,2.8,7.2,10.0,1.9,1.0,1.4,2.9,2.6,17.1,36,36,1248,6.4,10.6,0.599,0.0,0.0,,5.0,7.3,0.681,2.9,7.5,10.4,2.0,1.0,1.5,3.0,2.7,17.7,8+,"Plumlee, Mason"
0.3894276516,0.4004866196,0.2100857288,4+,4+,REBOUND PER 36 MINUTES,0.1841316879,12.1,+++,FREE THROWS % PER 36 MINUTES,0.1591305346,0.551,++,3 POINT % PER 36 MINUTES,0.0733271234,0.32799999999999996,++,STEALS PER 36 MINUTES,-0.0539063117,2.3,--,OFFENSIVE REBOUND PER 36 MINUTES,0.0263699819,3.2,+,21,132,275,19,58,54,98,92.0,255.0,347,44,67,41,74,78,337,33.4,4.3,8.9,0.6,1.9,1.7,3.2,3.0,8.2,11.2,1.4,2.2,1.3,2.4,2.5,10.9,31,30,1036,4.6,9.6,0.48,0.7,2.0,0.328,1.9,3.4,0.551,3.2,8.9,12.1,1.5,2.3,1.4,2.6,2.7,11.7,4+,"Roberson, Andre"
0.3977924396,0.3793095605,0.2228979999,0-4,0-4,3 POINT % PER 36 MINUTES,-0.2333662868,0.39299999999999996,---,STEALS PER 36 MINUTES,-0.1554141593,3.1,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0665048257,0.8,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0590974585,4.4,--,FREE THROWS % PER 36 MINUTES,-0.0582434333,0.858,--,22,215,509,77,196,133,155,29.0,143.0,172,246,112,13,98,111,640,34.6,5.8,13.8,2.1,5.3,3.6,4.2,0.8,3.9,4.6,6.6,3.0,0.4,2.6,3.0,17.3,37,37,1281,6.0,14.3,0.422,2.2,5.5,0.393,3.7,4.4,0.858,0.8,4.0,4.8,6.9,3.1,0.4,2.8,3.1,18.0,4+,"Carter, Jevon"
0.6017686732,0.2822346799,0.1159966469,0-4,0-4,OFFENSIVE REBOUND PER 36 MINUTES,0.3286942669,0.4,+++,3 POINT % PER 36 MINUTES,0.1570005295,0.355,++,REBOUND PER 36 MINUTES,0.1314029141,3.7,++,STEALS PER 36 MINUTES,0.0952586069,1.4,++,FREE THROWS % PER 36 MINUTES,0.0532959976,0.8370000000000001,+,21,277,703,135,380,185,221,14.0,116.0,130,104,48,10,113,73,874,35.4,7.7,19.5,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3,36,36,1275,7.8,19.8,0.394,3.8,10.7,0.355,5.2,6.2,0.837,0.4,3.3,3.7,2.9,1.4,0.3,3.2,2.1,24.7,0-4,"Edwards, Carsen"
0.543933547,0.296884271,0.1591821821,0-4,0-4,3 POINT % PER 36 MINUTES,0.129657232,0.325,+++,OFFENSIVE REBOUND PER 36 MINUTES,0.0825553196,0.5,++,FREE THROWS % PER 36 MINUTES,0.0392004356,0.7140000000000001,++,REBOUND PER 36 MINUTES,0.0250299495,2.8,+,STEALS PER 36 MINUTES,0.0200625395,1.0,+,19,145,352,26,80,85,119,17.0,84.0,101,191,37,11,109,91,401,32.6,3.6,8.8,0.7,2.0,2.1,3.0,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10.0,40,40,1303,4.0,9.7,0.412,0.7,2.2,0.325,2.3,3.3,0.714,0.5,2.3,2.8,5.3,1.0,0.3,3.0,2.5,11.1,4+,"Teague, Marquis"
0.5120088438,0.3723936389,0.1155975174,0-4,0-4,STEALS PER 36 MINUTES,0.1685806128,0.8,+++,REBOUND PER 36 MINUTES,0.0612663852,11.6,++,FREE THROWS % PER 36 MINUTES,-0.0544305166,0.61,--,FREE THROWS ATTEMPTED PER 36 MINUTES,-0.0371262046,6.6,--,OFFENSIVE REBOUND PER 36 MINUTES,-0.0103878551,3.4,-,22,184,316,0,0,128,210,107.0,262.0,369,32,24,170,71,88,496,31.7,5.1,8.8,0.0,0.0,3.6,5.8,3.0,7.3,10.3,0.9,0.7,4.7,2.0,2.4,13.8,36,36,1141,5.8,10.0,0.582,0.0,0.0,,4.0,6.6,0.61,3.4,8.3,11.6,1.0,0.8,5.4,2.2,2.8,15.6,0-4,"Varnado, Jarvis"
